City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Cidreira,BR,-30.1811,-50.2056,1644210093,8.61,1013,74,66.85,9
Portobelo,PA,9.55,-79.65,1644210095,9.71,1013,81,71.74,25
Upernavik,GL,72.7868,-56.1549,1644210096,6.91,989,100,-14.57,100
Bukachacha,RU,52.9833,116.9167,1644210096,2.55,1023,68,14.54,16
Chokurdakh,RU,70.6333,147.9167,1644209875,3.22,1028,99,-41.58,85
Puerto Ayora,EC,-0.7393,-90.3518,1644210047,7.36,1013,94,73.54,21
Conde,BR,-7.2597,-34.9075,1644210097,3.44,1011,88,74.66,20
Yangi Marg`ilon,UZ,40.4272,71.7189,1644210098,6.91,1025,87,38.12,75
Mehamn,NO,71.0357,27.8492,1644210099,12.75,986,81,23.18,87
San Juan,AR,-31.5375,-68.5364,1644209693,9.26,1015,37,72.55,0
Kearney,US,40.6995,-99.0815,1644210099,5.01,1024,49,33.22,0
Hilo,US,19.7297,-155.09,1644210099,3.0,1018,93,67.96,76
Chapais,CA,49.7834,-74.8492,1644210100,4.38,1023,96,4.78,100
Fujin,CN,47.26,132.0322,1644210101,10.27,1023,81,10.38,64
Hamilton,US,39.1834,-84.5333,1644209825,2.89,1023,88,25.52,100
Caravelas,BR,-17.7125,-39.2481,1644210102,5.1,1012,90,74.91,42
Anda,CN,46.4,125.3167,1644210102,8.43,1025,72,15.6,4
Fort Abbas,PK,29.1925,72.8536,1644210102,10.85,1017,41,66.61,4
Howard Springs,AU,-12.497,131.047,1644210104,7.05,1006,89,82.96,91
Amuntai,ID,-2.4177,115.2494,1644210105,4.23,1008,59,88.41,97
Boussé,BF,12.6606,-1.8922,1644210105,9.8,1012,16,64.83,0
Yarmouth,US,41.7057,-70.2286,1644210106,3.44,1033,76,30.15,40
Lebu,CL,-37.6167,-73.65,1644209892,13.67,1014,93,58.28,5
Juneau,US,58.3019,-134.4197,1644210025,5.55,996,99,40.42,100
New Norfolk,AU,-42.7826,147.0587,1644210107,3.0,1024,28,77.63,0
Paragominas,BR,-2.9667,-47.4833,1644210107,0.85,1011,99,71.22,100
Ponta Porã,BR,-22.5361,-55.7256,1644210108,4.7,1014,80,61.43,88
Arraial do Cabo,BR,-22.9661,-42.0278,1644210108,14.88,1009,93,74.86,1
Skagen,DK,57.7209,10.5839,1644210109,32.3,995,64,39.27,11
Mazagão,BR,-0.115,-51.2894,1644210109,2.68,1011,99,71.62,100
Āstāneh-ye Ashrafīyeh,IR,37.2596,49.9444,1644210110,5.41,1022,77,42.73,82
Salinópolis,BR,-0.6136,-47.3561,1644210111,7.61,1010,88,77.36,99
Mumbwa,ZM,-14.9783,27.0619,1644210111,5.95,1013,98,63.34,100
Santo Antônio do Sudoeste,BR,-26.0736,-53.7253,1644210112,4.43,1015,68,59.23,0
Porto Belo,BR,-27.1578,-48.5531,1644210112,10.31,1012,79,73.22,73
Cherskiy,RU,68.75,161.3,1644209874,1.77,1026,100,-30.44,38
Nara,JP,34.6851,135.8049,1644210113,8.63,1023,42,46.24,88
Port Augusta,AU,-32.5,137.7667,1644210113,16.55,1010,16,94.71,21
Darhan,MN,49.4867,105.9228,1644210114,7.25,1032,76,9.27,17
Borogontsy,RU,62.6683,131.1683,1644210114,3.53,1028,92,-18.67,100
La Asuncion,VE,11.0333,-63.8628,1644210115,12.66,1014,94,78.53,8
Butaritari,KI,3.0707,172.7902,1644210115,15.86,1008,76,81.79,58
Peabiru,BR,-23.9128,-52.3431,1644210117,6.17,1012,68,63.03,1
Tiksi,RU,71.6872,128.8694,1644210118,6.93,1028,98,-18.04,100
Whitehorse,CA,60.7161,-135.0538,1644210082,7.56,991,93,32.02,99
College,US,64.8569,-147.8028,1644210118,4.05,1000,78,-7.83,100
Camuy,PR,18.4838,-66.8449,1644210119,3.0,1018,96,71.15,28
Casma,CL,-41.0082,-73.1244,1644210119,2.98,1015,99,54.25,2
Homer,US,59.6425,-151.5483,1644210120,12.59,989,93,24.76,100
Khanpur,PK,28.6453,70.6567,1644210121,17.07,1017,34,66.07,5
Morón,AR,-34.6534,-58.6198,1644210122,6.71,1017,86,62.55,5
Danville,US,36.586,-79.395,1644209957,1.95,1028,70,25.92,0
Batagay-Alyta,RU,67.8006,130.4114,1644210124,2.24,1029,94,-21.44,100
Cagli,IT,43.5457,12.6527,1644210125,19.15,1008,81,48.45,87
Bridlington,GB,54.0831,-0.1919,1644210127,13.76,1020,72,34.14,16
Pevek,RU,69.7008,170.3133,1644209879,1.68,1028,99,-24.29,22
Kutum,SD,14.2,24.6667,1644210128,8.5,1021,35,44.91,15
Bredasdorp,ZA,-34.5322,20.0403,1644210129,4.27,1015,87,66.27,11
Fairbanks,US,64.8378,-147.7164,1644210129,3.98,998,76,-7.82,100
Khāsh,IR,28.2211,61.2158,1644210130,6.96,1018,27,50.31,5
Oudtshoorn,ZA,-33.5907,22.2014,1644210131,0.56,1014,38,62.96,2
Auki,SB,-8.7676,160.7034,1644210131,10.8,1006,80,83.52,100
Inhambane,MZ,-23.865,35.3833,1644210132,15.3,1011,71,78.8,85
Zvishavane,ZW,-20.3267,30.0665,1644210132,7.78,1016,82,63.12,55
Tezu,IN,27.9167,96.1667,1644209960,4.27,1017,41,67.19,1
Ubari,LY,26.5921,12.7805,1644210133,7.09,1022,25,50.0,44
Jinchang,CN,38.4953,102.1739,1644210133,5.57,1030,71,17.98,20
Bethel,US,41.3712,-73.414,1644210133,0.0,1032,84,22.39,75
Sidi Ali,DZ,36.0998,0.4206,1644210134,3.33,1026,84,48.2,0
Champasak,LA,14.75,106.0,1644210134,3.09,1011,35,93.7,100
Pimentel,PE,-6.8367,-79.9342,1644209873,9.71,1013,80,70.41,98
Northam,GB,51.0333,-4.2167,1644210135,6.29,1026,85,44.15,20
Deputatsky,RU,69.3,139.9,1644209990,4.83,1030,94,-32.8,85
Magadan,RU,59.5667,150.8,1644210136,10.22,1016,65,13.53,39
Estevan,CA,49.1334,-102.9842,1644210137,12.44,1016,80,26.22,50
Talnakh,RU,69.4865,88.3972,1644210137,2.08,1035,95,-26.07,56
Hong Kong,HK,22.2855,114.1577,1644210092,3.0,1016,88,62.29,100
Nishihara,JP,26.1842,127.7558,1644210139,14.97,1019,56,67.3,75
Saldanha,ZA,-33.0117,17.9442,1644210140,7.47,1015,97,62.38,37
San Miguel de Cozumel,MX,20.5083,-86.9458,1644210140,8.37,1017,95,70.95,22
Itarema,BR,-2.9248,-39.9167,1644210141,7.2,1010,84,76.95,2
Tuatapere,NZ,-46.1333,167.6833,1644210142,6.8,1020,48,59.83,0
Haverfordwest,GB,51.8017,-4.9691,1644210142,7.31,1025,84,40.69,37
Talara,PE,-4.5772,-81.2719,1644210143,10.92,1013,81,72.0,70
San Quintín,MX,30.4833,-115.95,1644210144,1.63,1022,47,57.34,0
Tukuyu,TZ,-9.25,33.65,1644210144,4.43,1015,87,61.77,100
Namtsy,RU,62.7161,129.6658,1644210145,2.73,1028,93,-29.09,99
Egvekinot,RU,66.3167,-179.1667,1644210145,11.1,1025,85,-14.71,4
Rawson,AR,-43.3002,-65.1023,1644210092,16.58,1016,55,62.92,0
Imbituba,BR,-28.24,-48.6703,1644210146,5.57,1013,81,71.22,60
San Cristobal,VE,7.7669,-72.225,1644210146,1.39,1015,83,66.45,63
Aswān,EG,24.0934,32.907,1644210147,9.46,1022,44,52.68,0
Coronado,US,32.6859,-117.1831,1644209975,1.01,1022,45,59.65,0
Inírida,CO,3.8653,-67.9239,1644210147,2.21,1010,94,73.33,76
Leningradskiy,RU,69.3833,178.4167,1644210148,3.58,1031,100,-28.39,62
Gejiu,CN,23.306,103.1635,1644210148,7.11,1014,61,53.53,60
Severo-Yeniseyskiy,RU,60.3725,93.0408,1644210149,3.33,1025,95,3.83,96
Ciudad Bolivar,VE,8.1222,-63.5497,1644210149,12.64,1012,80,76.59,38
Umluj,SA,25.0213,37.2685,1644210141,14.97,1018,34,64.98,0
Kavieng,PG,-2.5744,150.7967,1644210150,2.04,1006,69,83.89,72
Hithadhoo,MV,-0.6,73.0833,1644209933,14.25,1013,67,82.62,23
Linxia Chengguanzhen,CN,35.6003,103.2064,1644210151,1.59,1028,74,17.49,83
Senneterre,CA,48.3835,-77.2328,1644210151,6.6,1020,95,12.42,100
Mwense,ZM,-10.3845,28.698,1644210152,2.48,1013,97,66.02,100
Katsuura,JP,35.1333,140.3,1644210152,2.35,1020,32,46.42,27
Kruisfontein,ZA,-34.0033,24.7314,1644210153,5.35,1014,60,71.73,0
Vestmanna,FO,62.1564,-7.1664,1644210153,1.14,1008,74,25.72,100
Kununurra,AU,-15.7667,128.7333,1644210154,9.22,1007,55,91.38,100
Oistins,BB,13.0667,-59.5333,1644210012,18.39,1014,82,77.0,78
Labuhan,ID,-6.8844,112.2051,1644210155,17.78,1009,85,79.79,100
Kandi,BJ,11.1342,2.9386,1644210156,5.39,1012,19,67.23,0
Coquimbo,CL,-29.9533,-71.3436,1644209915,1.14,1014,82,64.13,100
Benxi,CN,41.2886,123.765,1644210156,3.51,1029,43,26.92,39
Caçapava do Sul,BR,-30.5122,-53.4914,1644210157,4.27,1015,64,53.76,0
Skerries,IE,53.5828,-6.1083,1644210157,12.46,1022,87,40.28,66
Karasjok,NO,69.4719,25.5112,1644210158,2.35,990,100,17.71,100
Baghdad,IQ,33.3406,44.4009,1644210158,3.38,1023,42,52.02,23
Sedalia,US,38.7045,-93.2283,1644210158,5.75,1026,75,33.06,0
Esim,GH,4.8699,-2.2405,1644210159,4.23,1010,88,77.59,79
Nyazepetrovsk,RU,56.0531,59.6028,1644210159,4.94,1013,85,11.48,87
Hasaki,JP,35.7333,140.8333,1644210160,3.33,1020,31,46.8,6
Uglekamensk,RU,43.2172,133.2303,1644210160,8.72,1023,44,20.01,72
Itapaci,BR,-14.9508,-49.5494,1644210161,0.76,1012,94,68.81,99
Svetlaya,RU,46.5389,138.3297,1644210161,2.93,1017,50,20.05,7
Sisimiut,GL,66.9395,-53.6735,1644210162,20.04,992,94,3.72,100
Waipawa,NZ,-41.4122,175.5153,1644210162,9.53,1019,91,58.82,100
Sharan,RU,54.8167,54.0,1644210163,2.57,1011,97,15.1,100
Broken Hill,AU,-31.95,141.4333,1644210163,14.61,1014,23,84.38,1
East London,ZA,-33.0153,27.9116,1644210165,8.12,1014,78,73.35,94
Black River,JM,18.0264,-77.8487,1644210166,3.4,1016,73,77.0,31
Ostrovnoy,RU,68.0531,39.5131,1644210167,17.0,999,88,11.16,18
Visby,SE,57.6409,18.296,1644210169,13.8,987,87,35.82,75
Yellowknife,CA,62.456,-114.3525,1644209561,0.0,1001,90,-7.04,0
Poum,NC,-20.2333,164.0167,1644210169,28.74,999,87,81.1,100
Tazovsky,RU,67.4667,78.7,1644209875,3.36,1036,100,-24.54,92
Ferme-Neuve,CA,46.7001,-75.4493,1644210170,5.68,1024,95,17.67,100
Shelui,TZ,-4.3667,34.2,1644210171,5.57,1014,91,66.25,100
Klaksvík,FO,62.2266,-6.589,1644210172,6.22,1009,46,27.52,100
Marsabit,KE,2.3284,37.9899,1644209891,15.05,1014,64,66.74,85
Lucea,JM,18.451,-78.1736,1644210173,4.81,1015,78,71.85,11
Nānākuli,US,21.3906,-158.1547,1644210174,13.06,1018,68,73.06,1
Wolfville,CA,45.0835,-64.3655,1644210174,4.7,1038,91,6.15,70
Geraldton,AU,-28.7667,114.6,1644210175,20.71,1011,31,77.41,40
Baijiantan,CN,45.6333,85.1833,1644210175,6.93,1037,83,9.81,5
Mildura,AU,-34.2,142.15,1644210175,16.44,1015,29,91.08,6
Pangnirtung,CA,66.1451,-65.7125,1644210176,4.85,1010,95,-38.67,100
Korhogo,CI,9.45,-5.6333,1644210176,4.12,1010,19,68.56,4
Bambous Virieux,MU,-20.3428,57.7575,1644210177,11.5,1014,83,80.85,75
Kalmunai,LK,7.4167,81.8167,1644210177,12.37,1014,72,81.54,67
Kainantu,PG,-6.2887,145.8655,1644210178,0.45,1008,57,76.46,65
Pitkyaranta,RU,61.5734,31.4792,1644210178,11.16,991,97,30.47,100
Mafinga,TZ,-7.25,35.0667,1644210179,2.3,1014,94,65.95,100
Hobyo,SO,5.3505,48.5268,1644209904,21.65,1015,65,78.35,97
Dehlorān,IR,32.6941,47.2679,1644210179,3.58,1021,40,52.2,3
Lodja,CD,-3.4833,23.4333,1644210180,1.32,1011,96,69.93,100
Sibolga,ID,1.7427,98.7792,1644210181,5.5,1012,59,86.13,70
Chui,UY,-33.6971,-53.4616,1644210181,14.2,1011,80,62.78,48
Schwerin,DE,53.6294,11.4132,1644210182,15.84,1002,83,35.26,50
Port Lincoln,AU,-34.7333,135.8667,1644210182,18.39,1011,47,79.57,1
Zhezkazgan,KZ,47.8043,67.7144,1644209940,24.61,1019,86,21.18,100
Shihezi,CN,44.3,86.0333,1644210183,2.35,1036,72,14.13,2
Sarkand,KZ,45.41,79.9186,1644210183,0.87,1027,72,32.86,100
Wanning,CN,18.8003,110.3967,1644210184,7.56,1014,81,75.63,68
Banepā,NP,27.6298,85.5214,1644210184,3.44,1019,66,52.12,20
Arrondissement de La Rochelle,FR,46.25,-1.0,1644210185,17.27,1028,93,50.23,100
Eyl,SO,7.9803,49.8164,1644210186,18.48,1016,66,77.2,100
Norman Wells,CA,65.282,-126.8329,1644210187,20.71,1004,70,-12.96,100
Riyadh,SA,24.6877,46.7219,1644210163,1.79,1024,40,52.54,0
Dalbandin,PK,28.8947,64.4101,1644210188,12.68,1018,21,56.26,50
Fianarantsoa,MG,-21.4333,47.0833,1644210188,3.18,1010,82,68.16,72
Dongying,CN,37.4564,118.4856,1644210189,1.72,1030,23,39.25,100
Whakatane,NZ,-37.9585,176.9854,1644210189,4.61,1013,93,66.7,100
Iqaluit,CA,63.7506,-68.5145,1644210190,1.23,1013,96,-30.69,100
Dovolnoye,RU,54.4958,79.6671,1644210190,5.01,1029,90,8.64,73
Banbury,GB,52.0602,-1.3403,1644210191,1.01,1021,87,35.76,7
Hot Springs,US,34.5037,-93.0552,1644210191,0.0,1025,88,29.03,0
Kasempa,ZM,-13.4584,25.8338,1644210192,5.84,1011,98,64.02,100
Kaitangata,NZ,-46.2817,169.8464,1644210192,7.34,1020,80,58.93,32
Mattoon,US,39.4831,-88.3728,1644210132,6.91,1022,64,25.83,0
Inuvik,CA,68.3499,-133.7218,1644210193,16.75,1011,95,-23.01,100
Broome,US,42.2506,-75.833,1644210146,1.01,1027,82,17.35,0
Mabaruma,GY,8.2,-59.7833,1644210195,2.64,1012,98,73.0,100
Altamirano,MX,16.8833,-92.15,1644210197,2.46,1020,98,48.83,60
Ilhabela,BR,-23.7781,-45.3581,1644210198,3.96,1010,94,75.94,100
Urtenen,CH,47.0267,7.5008,1644210198,5.01,1039,82,38.88,75
Belyy Yar,RU,53.6039,91.3903,1644210199,2.24,1026,85,3.09,100
Ambon City,ID,-3.6954,128.1814,1644210199,6.91,1008,62,89.74,40
Vieques,PR,18.425,-65.8329,1644210200,13.8,1017,94,71.29,100
Taltal,CL,-25.4,-70.4833,1644210200,0.96,1015,84,64.92,4
Boende,CD,-0.2167,20.8667,1644210201,1.83,1010,60,70.16,100
Severo-Kuril'sk,RU,50.6789,156.125,1644210177,9.55,997,81,31.01,100
Alvorada,BR,-12.48,-49.1247,1644210201,3.31,1011,91,71.06,99
Olenino,RU,56.2092,33.4889,1644210202,10.54,997,94,28.81,99
Mbandaka,CD,0.0487,18.2603,1644210202,2.53,1010,43,70.09,83
Parian Dakula,PH,5.5567,120.7719,1644210203,11.74,1009,74,82.36,76
Chimbote,PE,-9.0853,-78.5783,1644209936,5.91,1014,79,70.03,100
Shingū,JP,33.7333,135.9833,1644210204,9.44,1021,36,45.91,63
Fortuna,US,40.5982,-124.1573,1644210205,6.91,1026,96,43.38,100
Strezhevoy,RU,60.7333,77.5889,1644210205,6.87,1032,96,-2.22,8
Saint-Pierre,RE,-21.3393,55.4781,1644210206,4.61,1012,69,81.97,0
Moose Factory,CA,51.2585,-80.6094,1644210158,3.85,1027,99,-20.69,55
Warrington,GB,53.3925,-2.5802,1644210190,1.99,1022,89,36.36,20
Mayo,US,38.8876,-76.5119,1644210207,0.0,1024,70,30.99,100
Dingzhou,CN,38.5131,114.9956,1644210207,4.0,1030,31,38.98,91
Port Blair,IN,11.6667,92.75,1644210207,12.66,1013,78,82.44,40
Arrondissement de Mulhouse,FR,47.6667,7.4167,1644210208,11.01,1020,65,40.41,0
Jinka,ET,5.65,36.65,1644210209,1.57,1013,32,71.82,12
Sturgis,US,41.7992,-85.4192,1644210209,9.22,1020,73,24.33,0
Ust'-Katav,RU,54.9369,58.1656,1644210209,0.69,1012,88,15.91,99
Vila Franca do Campo,PT,37.7167,-25.4333,1644210210,11.74,1028,80,58.19,20
Nassau,US,40.7507,-73.5829,1644210090,1.01,1032,77,28.53,100
Galle,LK,6.0367,80.217,1644210210,4.23,1013,60,84.31,91
